Altium Designer Pick and Place Locations
C:\Users\Justin\OneDrive - University of Southampton\PhD_Studying\Circuit\DOG_PMU_v2\Project Outputs for DOG_PMU_v2\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       19/05/24
Time:       09:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)"
"U2","TPS5450_module","TopLayer","TPS5450_module","11.5120","37.7825","270","https://item.taobao.com/item.htm?id=678523742086&spm=a1z0d.6639537&sku_properties=1627207:1665065280","11.6840","38.2270","3.8920","58.0390"
"R17","10kΩ","TopLayer","R0603","73.4060","13.0810","270","","73.4060","13.0810","73.4060","13.8345"
"R16","10kΩ","TopLayer","R0603","72.1360","13.0810","270","","72.1360","13.0810","72.1360","13.8345"
"R15","10kΩ","TopLayer","R0603","70.8660","13.0810","270","","70.8660","13.0810","70.8660","13.8345"
"R14","10kΩ","TopLayer","R0603","69.5960","13.0810","270","","69.5960","13.0810","69.5960","13.8345"
"R13","10kΩ","TopLayer","R0603","68.3260","13.0810","270","","68.3260","13.0810","68.3260","13.8345"
"R12","10kΩ","TopLayer","R0603","67.0560","13.0810","270","","67.0560","13.0810","67.0560","13.8345"
"R7","68.1kΩ","TopLayer","R0603","70.8660","10.2870","270","","70.8660","10.2870","70.8660","11.0405"
"R6","68.1kΩ","TopLayer","R0603","69.5960","10.2870","270","","69.5960","10.2870","69.5960","11.0405"
"R5","68.1kΩ","TopLayer","R0603","68.3260","10.2870","270","","68.3260","10.2870","68.3260","11.0405"
"R4","68.1kΩ","TopLayer","R0603","67.0560","10.2955","270","","67.0560","10.2955","67.0560","11.0490"
"J9","XT30UPB","TopLayer","XT30UPB","78.9540","29.5910","90","https://item.taobao.com/item.htm?abbucket=12&id=607162270928&ns=1&priceTId=2147810917158194959275132&sku_properties=1627207:45770027","76.4540","29.5910","76.4540","29.5910"
"J6","XT30UPB","TopLayer","XT30UPB","78.9540","44.3230","90","https://item.taobao.com/item.htm?abbucket=12&id=607162270928&ns=1&priceTId=2147810917158194959275132&sku_properties=1627207:45770027","76.4540","44.3230","76.4540","44.3230"
"J1","B7B-XH-A__LF__SN_","TopLayer","SHDR7W64P0X250_1X7_1990X575X700P","74.1680","4.1910","180","Connector","81.6680","4.1910","81.6680","4.1910"
"R37","10k","TopLayer","R0603","52.3240","5.9690","180","","52.3240","5.9690","53.0775","5.9690"
"R34","10k","TopLayer","R0603","63.7540","13.4620","0","","63.7540","13.4620","63.0005","13.4620"
"J12","XT30UPB","TopLayer","XT30UPB","78.9540","59.0550","90","https://item.taobao.com/item.htm?abbucket=12&id=607162270928&ns=1&priceTId=2147810917158194959275132&sku_properties=1627207:45770027","76.4540","59.0550","76.4540","59.0550"
"C19","0.1uF","TopLayer","C0603","19.9390","10.5410","90","","19.9390","10.5410","19.9390","9.7875"
"C4","22uF","TopLayer","C1210","32.4697","64.1350","270","VJ1210Y104MXCAT","32.4697","64.1350","32.4697","65.6520"
"C2","22uF","TopLayer","C1210","29.1253","64.1350","270","VJ1210Y104MXCAT","29.1253","64.1350","29.1253","65.6520"
"C15","10uF","TopLayer","C1210","70.6190","57.1500","0","VJ1210Y104MXCAT","70.6190","57.1500","69.1020","57.1500"
"C13","10uF","TopLayer","C1210","70.6190","42.4180","0","VJ1210Y104MXCAT","70.6190","42.4180","69.1020","42.4180"
"C12","10uF","TopLayer","C1210","70.6190","35.0520","0","VJ1210Y104MXCAT","70.6190","35.0520","69.1020","35.0520"
"C11","10uF","TopLayer","C1210","70.6190","20.3200","0","VJ1210Y104MXCAT","70.6190","20.3200","69.1020","20.3200"
"U4","STM32C011F6P6","TopLayer","TSSOP20_STM","83.4390","12.0650","90","No Description Available","83.4390","12.0650","80.5140","9.1440"
"U3","AMS1117-3.3","TopLayer","SOT-223","52.6570","11.0490","0","C347222","52.6570","11.0998","49.6570","13.3490"
"U1","TPS2492PW","TopLayer","PW0014A_N","33.0200","14.4780","0","The TPS2492 and TPS2493 are easy-to-use, positive high voltage, 14-pin Hotswap Controllers that safely drive an external N-channel FET to control load current. The programmable power foldback protection ensures that the external FET operates inside its safe operating area (SOA) during overload conditions by controlling of power dissipation. The programmable current limit and fault timer ensure the supply, external FET, and load are not harmed by overcurrent. Features include inrush current limiting, controlled load turn-on, interfacing to down-stream DC-to-DC converters, and power feed protection.

The analog current monitor output provides a signal ready for sampling with an external A/D converter.

Additional features include programmable overvoltage and undervoltage shutdown, power-good for coordinating loads with inrush, and a fault indicator to indicate an over-current shutdown.","33.0200","14.4780","30.0700","16.4280"
"R39","10k","TopLayer","R0603","95.4960","5.0800","180","","95.4960","5.0800","96.2495","5.0800"
"R38","10k","TopLayer","R0603","60.8330","4.9530","180","","60.8330","4.9530","61.5865","4.9530"
"R36","10k","TopLayer","R0603","78.1050","15.8750","0","","78.1050","15.8750","77.3515","15.8750"
"R35","10k","TopLayer","R0603","78.1050","14.6050","180","","78.1050","14.6050","78.8585","14.6050"
"R33","10kΩ","TopLayer","R0603","54.4990","18.0340","0","","54.4990","18.0340","53.7455","18.0340"
"R32","10kΩ","TopLayer","R0603","54.6100","65.1510","0","","54.6100","65.1510","53.8565","65.1510"
"R31","NTCS0805E3103JMT","TopLayer","NTCS0805_VIS","50.4350","18.0340","180","THERMISTOR NTC 10KOHM 3570K 0805","50.4350","18.0340","51.4350","18.0340"
"R30","NTCS0805E3103JMT","TopLayer","NTCS0805_VIS","50.5460","65.1510","180","THERMISTOR NTC 10KOHM 3570K 0805","50.5460","65.1510","51.5460","65.1510"
"R29","10Ω","TopLayer","R0603","63.5000","43.3070","270","","63.5000","43.3070","63.5000","44.0605"
"R28","10Ω","TopLayer","R0603","63.5000","54.6100","270","","63.5000","54.6100","63.5000","55.3635"
"R27","10Ω","TopLayer","R0603","63.5000","32.0040","270","","63.5000","32.0040","63.5000","32.7575"
"R26","10Ω","TopLayer","R0603","63.5000","20.7010","270","","63.5000","20.7010","63.5000","21.4545"
"R25","1kΩ","TopLayer","R0603","26.0350","12.6577","0","","26.0350","12.6577","25.2815","12.6577"
"R24","470kΩ","TopLayer","R0603","40.6400","13.5890","180","","40.6400","13.5890","41.3935","13.5890"
"R23","470kΩ","TopLayer","R0603","40.6400","12.3190","180","","40.6400","12.3190","41.3935","12.3190"
"R22","1mΩ","TopLayer","2512_R","42.1640","60.5790","0","CHSA2512R0010F","42.1640","60.5790","39.0640","60.5790"
"R21","1mΩ","TopLayer","2512_R","42.1640","51.0540","0","CHSA2512R0010F","42.1640","51.0540","39.0640","51.0540"
"R20","1mΩ","TopLayer","2512_R","42.1640","22.4790","0","CHSA2512R0010F","42.1640","22.4790","39.0640","22.4790"
"R19","1mΩ","TopLayer","2512_R","42.1640","32.0040","0","CHSA2512R0010F","42.1640","32.0040","39.0640","32.0040"
